data_hora,Demanda_MW,Vel_viento
2015-10-15 04,878.1811131,8.299793024
2015-10-15 05,870.4099357,8.166206514
2015-10-15 06,903.2561877,14.78868893
2015-10-15 07,951.0563248,21.38364365
2015-10-15 08,1081.843332,37.07687765
2015-10-15 09,1168.890756,21.50358692
2015-10-15 10,1213.19261,11.82550636
2015-10-15 11,1237.214609,10.83949512
2015-10-15 12,1276.643512,9.517143911
2015-10-15 13,1273.469043,10.23999113
2015-10-15 14,1259.933021,7.87855227
2015-10-15 15,1232.310142,7.501625582
2015-10-15 16,1208.336589,8.534670559
2015-10-15 17,1204.301081,7.707350888
2015-10-15 18,1210.495192,7.51233895
2015-10-15 19,1239.936259,34.03055848
2015-10-15 20,1425.99444,48.04481894
2015-10-15 21,1492.457711,9.581380605
2015-10-15 22,1471.470911,20.81603889
2015-10-15 23,1394.30112,21.52338852
2015-10-16 00,1278.876058,40.86346322
2015-10-16 01,1147.571505,39.09079039
2015-10-16 02,1034.200427,29.16793845
2015-10-16 03,966.0928628,16.62794337
2015-10-16 04,935.2406303,8.059206323
2015-10-16 05,941.4074042,9.341171464
2015-10-16 06,973.0076248,11.55711452
2015-10-16 07,1013.783491,31.92641095
2015-10-16 08,1152.923557,35.64767974
2015-10-16 09,1240.931204,18.58737505
2015-10-16 10,1289.712548,9.050012838
2015-10-16 11,1310.070561,8.234121802
2015-10-16 12,1330.149722,8.442960702
2015-10-16 13,1318.095696,9.572044626
2015-10-16 14,1303.950452,15.74321213
2015-10-16 15,1270.619487,12.08505684
2015-10-16 16,1255.608262,8.67666336
2015-10-16 17,1243.194278,10.08255208
2015-10-16 18,1237.041212,11.51369646
2015-10-16 19,1272.405183,29.41507851
2015-10-16 20,1471.657488,57.35889891
2015-10-16 21,1541.571908,7.485690986
2015-10-16 22,1503.833547,18.6175923
2015-10-16 23,1426.252038,23.87146475
2015-10-17 00,1317.341489,40.30744192
2015-10-17 01,1186.878093,36.74941622
2015-10-17 02,1069.78071,29.37599217
2015-10-17 03,986.7597863,18.09412125
2015-10-17 04,948.9866008,6.020822328
2015-10-17 05,940.0109851,4.274414924
2015-10-17 06,946.5828291,12.19925787
2015-10-17 07,927.9240032,12.81658452
2015-10-17 08,984.0847397,17.27597146
2015-10-17 09,1058.655057,23.74429123
2015-10-17 10,1133.638932,29.8328802
2015-10-17 11,1188.805292,6.880180253
2015-10-17 12,1198.449263,6.920559628
2015-10-17 13,1199.423882,6.488302553
2015-10-17 14,1186.487482,12.49258499
2015-10-17 15,1147.413575,9.400888392
2015-10-17 16,1122.439561,9.397368546
2015-10-17 17,1109.135746,5.613537921
2015-10-17 18,1120.284117,10.05501937
2015-10-17 19,1164.82577,28.62815713
2015-10-17 20,1369.42918,55.10618533
2015-10-17 21,1453.165544,11.76979845
2015-10-17 22,1421.158285,21.40922801
2015-10-17 23,1344.532773,21.09483089
2015-10-18 00,1252.112221,32.81242858
2015-10-18 01,1144.588971,31.25737652
2015-10-18 02,1035.351968,27.66384215
2015-10-18 03,959.4634735,18.47877753
2015-10-18 04,910.5223806,10.99044988
2015-10-18 05,889.4958236,4.339756026
2015-10-18 06,878.2422076,18.60718272
2015-10-18 07,826.3414195,5.12961631
2015-10-18 08,853.9271613,14.62432368
2015-10-18 09,919.8351187,20.70086998
2015-10-18 10,984.2854773,15.79859701
2015-10-18 11,1022.707797,6.667739586
2015-10-18 12,1035.750902,5.16345183
2015-10-18 13,1041.417465,5.077611478
2015-10-18 14,1022.595173,9.723958626
2015-10-18 15,991.3935736,10.26791697
2015-10-18 16,963.686302,7.218459502
2015-10-18 17,954.8298894,4.705126788
2015-10-18 18,971.4054433,11.8821175
2015-10-18 19,1033.959616,32.94956251
2015-10-18 20,1255.60129,53.46560311
2015-10-18 21,1360.102337,18.04991312
2015-10-18 22,1356.020997,12.81965886
2015-10-18 23,1312.41137,19.16344653
2015-10-19 00,1215.64316,34.96922837
2015-10-19 01,1095.47904,35.64991847
2015-10-19 02,981.3705499,24.02030435
2015-10-19 03,919.0663472,10.87195508
2015-10-19 04,897.6065597,6.978478356
2015-10-19 05,902.5081002,12.17525376
2015-10-19 06,933.379949,15.89470147
2015-10-19 07,977.072276,34.74189049
2015-10-19 08,1116.79051,39.0924568
2015-10-19 09,1200.734634,19.36136202
2015-10-19 10,1241.096813,13.71433852
2015-10-19 11,1259.880487,10.14548781
2015-10-19 12,1284.074822,11.9689542
2015-10-19 13,1282.636848,8.500137869
2015-10-19 14,1274.066904,9.538961089
2015-10-19 15,1266.746809,9.917968726
2015-10-19 16,1258.427199,9.057123721
2015-10-19 17,1263.473217,9.906855172
2015-10-19 18,1281.368621,7.96017834
2015-10-19 19,1311.771526,27.5945287
2015-10-19 20,1446.889332,34.13025627
2015-10-19 21,1510.717278,13.31524853
2015-10-19 22,1504.000122,23.85659226
2015-10-19 23,1414.467019,24.13308694
2015-10-20 00,1288.555112,45.17787123
2015-10-20 01,1137.433532,42.10330883
2015-10-20 02,1008.346376,33.33067298
2015-10-20 03,925.7269666,21.68735425
2015-10-20 04,891.10784,11.55515332
2015-10-20 05,891.3851523,8.926583695
2015-10-20 06,925.9624599,12.18533912
2015-10-20 07,972.211385,23.60069153
2015-10-20 08,1103.620694,35.47481585
2015-10-20 09,1196.695577,25.7738601
2015-10-20 10,1252.593885,18.84315917
2015-10-20 11,1287.896122,13.13361642
2015-10-20 12,1326.495118,15.12220354
2015-10-20 13,1337.142978,7.885031246
2015-10-20 14,1326.627356,11.60201525
2015-10-20 15,1298.981927,11.35066272
2015-10-20 16,1281.126371,14.94205602
2015-10-20 17,1254.252848,10.39866586
2015-10-20 18,1237.233529,6.508376388
2015-10-20 19,1240.295991,18.58697223
2015-10-20 20,1415.272666,63.91799398
2015-10-20 21,1512.118022,12.36801191
2015-10-20 22,1496.399028,17.47535348
2015-10-20 23,1429.038006,24.62291269
2015-10-21 00,1311.877483,43.38383772
2015-10-21 01,1159.161789,42.64140294
2015-10-21 02,1030.210664,31.97191352
2015-10-21 03,947.465212,17.83377228
2015-10-21 04,918.1865747,10.12321387
2015-10-21 05,909.1505157,4.979412428
2015-10-21 06,932.3939751,9.766704124
2015-10-21 07,983.3237237,39.90619477
2015-10-21 08,1133.17944,31.01563345
2015-10-21 09,1201.042452,12.29678763
2015-10-21 10,1227.831311,7.64712398
2015-10-21 11,1239.347262,9.449075947
2015-10-21 12,1262.00199,10.13930133
2015-10-21 13,1249.304543,11.2059014
2015-10-21 14,1226.255166,10.21208485
2015-10-21 15,1208.009027,17.21152503
2015-10-21 16,1201.195736,30.06106515
2015-10-21 17,1173.382953,9.537170942
2015-10-21 18,1171.528678,6.861006927
2015-10-21 19,1185.046412,22.36476835
2015-10-21 20,1377.701129,68.39948709
2015-10-21 21,1470.111392,11.61043806
2015-10-21 22,1450.447921,20.05385899
2015-10-21 23,1375.396717,27.66665244
2015-10-22 00,1252.181149,42.51563818
2015-10-22 01,1106.233239,40.76636931
2015-10-22 02,989.0423527,26.38498566
2015-10-22 03,918.3625123,14.1300314
2015-10-22 04,894.4986867,8.380638032
2015-10-22 05,898.5963342,8.943219069
2015-10-22 06,924.9980496,10.051956
2015-10-22 07,969.284756,35.51514198
2015-10-22 08,1114.905623,32.52008961
2015-10-22 09,1199.007294,17.80078278
2015-10-22 10,1245.137506,22.98373183
2015-10-22 11,1264.134294,27.93798377
2015-10-22 12,1280.380424,25.55036998
2015-10-22 13,1246.598892,12.59751699
2015-10-22 14,1219.716289,12.53966112
2015-10-22 15,1198.58409,13.99847224
2015-10-22 16,1183.624773,21.56090435
2015-10-22 17,1166.216598,12.02300726
2015-10-22 18,1160.272873,7.895289299
2015-10-22 19,1182.228746,26.92210241
2015-10-22 20,1373.839962,62.68759717
2015-10-22 21,1453.915464,4.903890113
2015-10-22 22,1424.307671,21.76487827
2015-10-22 23,1348.669961,21.07007365
2015-10-23 00,1244.174688,37.35739563
2015-10-23 01,1110.103745,36.88983508
2015-10-23 02,1000.799859,24.20900545
2015-10-23 03,935.8700987,15.32214392
2015-10-23 04,908.9824685,9.113000779
2015-10-23 05,910.9608828,9.419546665
2015-10-23 06,935.33943,12.2695195
2015-10-23 07,974.881957,36.75406405
2015-10-23 08,1107.138592,32.50037347
2015-10-23 09,1172.463305,16.13197309
2015-10-23 10,1208.417593,10.05853289
2015-10-23 11,1233.158334,8.746017543
2015-10-23 12,1252.288597,9.528835197
2015-10-23 13,1235.220088,12.30765472
2015-10-23 14,1219.654951,11.86091453
2015-10-23 15,1181.224261,33.57059466
2015-10-23 16,1146.437393,24.01551397
2015-10-23 17,1165.99748,8.629470092
2015-10-23 18,1165.040008,7.146200021
2015-10-23 19,1191.936965,26.06494079
2015-10-23 20,1387.219396,66.58525116
2015-10-23 21,1473.830558,8.165951753
2015-10-23 22,1448.843551,18.81986948
2015-10-23 23,1371.382638,23.43574418
2015-10-24 00,1260.462883,36.6758931
2015-10-24 01,1137.857325,34.49861003
2015-10-24 02,1026.747004,29.93906788
2015-10-24 03,946.5393508,16.77823664
2015-10-24 04,905.4745375,8.958090936
2015-10-24 05,900.6334282,4.763116363
2015-10-24 06,905.9526993,14.20542285
2015-10-24 07,891.7589302,13.70020505
2015-10-24 08,956.5113414,23.42413625
2015-10-24 09,1041.633975,25.24395831
2015-10-24 10,1122.764507,19.78146115
2015-10-24 11,1165.759907,7.492129106
2015-10-24 12,1183.969423,6.276727998
2015-10-24 13,1190.735427,7.146611067
2015-10-24 14,1179.674961,8.645410569
2015-10-24 15,1156.497829,7.382255408
2015-10-24 16,1131.879793,5.535659873
2015-10-24 17,1139.70806,7.674811596
2015-10-24 18,1173.496849,15.00341451
2015-10-24 19,1231.108112,28.14182333
2015-10-24 20,1403.948499,36.89002052
2015-10-24 21,1458.271049,11.74512273
2015-10-24 22,1418.635465,23.22608442
2015-10-24 23,1337.097946,23.31328311
2015-10-25 00,1247.714319,31.1095655
2015-10-25 01,1140.388098,33.6604965
2015-10-25 02,1031.025214,29.18787855
2015-10-25 03,947.6369023,17.25910668
2015-10-25 04,904.4605628,11.12563299
2015-10-25 05,886.8535117,5.469554824
2015-10-25 06,873.7493928,20.68614271
2015-10-25 07,815.8704713,5.449580017
2015-10-25 08,837.2223156,13.63399948
2015-10-25 09,902.1220178,25.88034673
2015-10-25 10,989.7024147,23.11015277
2015-10-25 11,1047.417179,14.09149187
2015-10-25 12,1102.685496,9.886487079
